Ticker,Entry Date,Exit Date,Holding Days,Entry,Exit,PnL (£),PnL %,Market,Exit Reason,Was Profitable,Entry Year
CVNA,2024-02-29,2024-04-02,33,76.04389530563355,82.74569774246216,753.8522465482332,8.98,US,Stop,True,2024
COIN,2024-04-30,2024-05-16,16,204.23588766479494,198.8712431716919,-298.7969760056067,-2.48,US,Stop,False,2024
APP,2024-04-30,2024-05-22,22,70.67585469436646,79.88000000000001,1798.4374513495077,13.19,US,Stop,True,2024
CVNA,2024-04-30,2024-05-23,23,83.04437816619874,109.74513865661622,3364.870636338357,32.35,US,Stop,True,2024
SMCI,2024-04-30,2024-05-23,23,86.0088172492981,84.61089196395875,-133.29232709001423,-1.48,US,Stop,False,2024
VST,2024-04-30,2024-05-31,31,75.04368660736084,97.745990650177,4177.714095393702,30.45,US,Stop,True,2024
CVNA,2024-05-31,2024-06-14,14,100.129973361969,102.90540756225586,323.45711375170396,2.93,US,Stop,True,2024
COIN,2024-05-31,2024-06-18,18,226.25887816619874,235.59607195281984,542.9718039262646,4.28,US,Stop,True,2024
APP,2024-05-31,2024-06-19,19,81.602223361969,80.7187363433838,-163.9613869030058,-0.93,US,Risk-Off,False,2024
SMCI,2024-05-31,2024-06-19,19,78.56867289352418,91.86299795150758,1938.2718629969834,17.1,US,Risk-Off,True,2024
VST,2024-05-31,2024-06-19,19,98.03966913986207,86.62554275512696,-1763.1296242272213,-11.51,US,Risk-Off,False,2024
CVNA,2024-07-31,2024-08-29,29,133.42984072113038,149.85488182830812,1753.6106665779323,12.48,US,Stop,True,2024
NVDA,2024-07-31,2024-08-29,29,117.14537981414796,117.3633709602356,26.446289808494107,0.34,US,Stop,True,2024
APP,2024-07-31,2024-09-02,33,77.21564847183228,92.73069774246217,2862.3815039905435,20.27,US,Risk-Off,True,2024
COIN,2024-07-31,2024-09-02,33,224.6965406112671,183.08496060943605,-2248.995803604912,-18.4,US,Risk-Off,False,2024
VST,2024-07-31,2024-09-02,33,78.59206914138794,84.49896141815186,947.0288129198657,7.68,US,Risk-Off,True,2024
NVDA,2024-09-30,2024-10-15,15,121.58053515625001,131.35762971496584,1114.9332529436508,8.2,US,Stop,True,2024
APP,2024-09-30,2024-10-17,17,130.74582805633545,142.7855,1290.992723566448,9.37,US,Stop,True,2024
VST,2024-09-30,2024-10-17,17,117.88003116607666,126.18231414031983,864.9995182624948,7.2,US,Stop,True,2024
RR.L,2024-09-30,2024-10-24,24,529.7701940917968,554.7310791015625,746.9392471191395,4.71,UK,Stop,True,2024
CVNA,2024-09-30,2024-11-01,32,174.3711656112671,228.7363818283081,4604.727198072584,31.37,US,Stop,True,2024
VST,2024-10-31,2024-11-14,14,124.26428039169312,137.27668579101564,1571.6950356111377,10.64,US,Stop,True,2024
NVDA,2024-10-31,2024-11-15,15,132.91362566375733,141.71848415374757,994.2826951247539,6.78,US,Stop,True,2024
